trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
22750069773107,8:33:00,8:33:00,740004383,1,0,1
22750069773107,8:34:00,8:34:00,740035997,2,0,0
22750069773107,8:36:00,8:36:00,740037355,3,0,0
22750069773107,8:37:00,8:37:00,740019408,4,0,0
22750069773107,8:40:00,8:40:00,740046065,5,0,0
22750069773107,8:43:00,8:43:00,740046036,6,0,0
22750069773107,8:44:00,8:44:00,740045991,7,0,0
22750069773107,8:45:00,8:45:00,740046239,8,0,0
22750069773107,8:46:00,8:46:00,740046240,9,0,0
22750069773107,8:46:00,8:46:00,740046241,10,0,0
22750069773107,8:48:00,8:48:00,740046242,11,0,0
22750069773107,8:49:00,8:49:00,740018283,12,0,0
22750069773107,8:50:00,8:50:00,740046243,13,0,0
22750069773107,8:52:00,8:52:00,740020556,14,1,0
22750069773265,9:17:00,9:17:00,740004383,1,0,1
22750069773265,9:18:00,9:18:00,740035997,2,0,0
22750069773265,9:20:00,9:20:00,740037355,3,0,0
22750069773265,9:21:00,9:21:00,740019408,4,0,0
22750069773265,9:24:00,9:24:00,740046065,5,0,0
22750069773265,9:27:00,9:27:00,740046036,6,0,0
22750069773265,9:28:00,9:28:00,740045991,7,0,0
22750069773265,9:29:00,9:29:00,740046239,8,0,0
22750069773265,9:30:00,9:30:00,740046240,9,0,0
22750069773265,9:30:00,9:30:00,740046241,10,0,0
22750069773265,9:32:00,9:32:00,740046242,11,0,0
22750069773265,9:33:00,9:33:00,740018283,12,0,0
22750069773265,9:34:00,9:34:00,740046243,13,0,0
22750069773265,9:36:00,9:36:00,740020556,14,1,0
22750069775280,8:55:00,8:55:00,740004383,1,0,1
22750069775280,8:56:00,8:56:00,740035997,2,0,0
22750069775280,8:58:00,8:58:00,740037355,3,0,0
22750069775280,8:59:00,8:59:00,740019408,4,0,0
22750069775280,9:02:00,9:02:00,740046065,5,0,0
22750069775280,9:05:00,9:05:00,740046036,6,0,0
22750069775280,9:06:00,9:06:00,740045991,7,0,0
22750069775280,9:07:00,9:07:00,740046239,8,0,0
22750069775280,9:08:00,9:08:00,740046240,9,0,0
22750069775280,9:08:00,9:08:00,740046241,10,0,0
22750069775280,9:10:00,9:10:00,740046242,11,0,0
22750069775280,9:11:00,9:11:00,740018283,12,0,0
22750069775280,9:12:00,9:12:00,740046243,13,0,0
22750069775280,9:14:00,9:14:00,740020556,14,1,0
22750069779434,8:22:00,8:22:00,740004383,1,0,1
22750069779434,8:23:00,8:23:00,740035997,2,0,0
22750069779434,8:25:00,8:25:00,740037355,3,0,0
22750069779434,8:26:00,8:26:00,740019408,4,0,0
22750069779434,8:29:00,8:29:00,740046065,5,0,0
22750069779434,8:32:00,8:32:00,740046036,6,0,0
22750069779434,8:33:00,8:33:00,740045991,7,0,0
22750069779434,8:34:00,8:34:00,740046239,8,0,0
22750069779434,8:35:00,8:35:00,740046240,9,0,0
22750069779434,8:35:00,8:35:00,740046241,10,0,0
22750069779434,8:37:00,8:37:00,740046242,11,0,0
22750069779434,8:38:00,8:38:00,740018283,12,0,0
22750069779434,8:39:00,8:39:00,740046243,13,0,0
22750069779434,8:41:00,8:41:00,740020556,14,1,0
22750069779500,8:44:00,8:44:00,740004383,1,0,1
22750069779500,8:45:00,8:45:00,740035997,2,0,0
22750069779500,8:47:00,8:47:00,740037355,3,0,0
22750069779500,8:48:00,8:48:00,740019408,4,0,0
22750069779500,8:51:00,8:51:00,740046065,5,0,0
22750069779500,8:54:00,8:54:00,740046036,6,0,0
22750069779500,8:55:00,8:55:00,740045991,7,0,0
22750069779500,8:56:00,8:56:00,740046239,8,0,0
22750069779500,8:57:00,8:57:00,740046240,9,0,0
22750069779500,8:57:00,8:57:00,740046241,10,0,0
22750069779500,8:59:00,8:59:00,740046242,11,0,0
22750069779500,9:00:00,9:00:00,740018283,12,0,0
22750069779500,9:01:00,9:01:00,740046243,13,0,0
22750069779500,9:03:00,9:03:00,740020556,14,1,0
22750069779544,9:06:00,9:06:00,740004383,1,0,1
22750069779544,9:07:00,9:07:00,740035997,2,0,0
22750069779544,9:09:00,9:09:00,740037355,3,0,0
22750069779544,9:10:00,9:10:00,740019408,4,0,0
22750069779544,9:13:00,9:13:00,740046065,5,0,0
22750069779544,9:16:00,9:16:00,740046036,6,0,0
22750069779544,9:17:00,9:17:00,740045991,7,0,0
22750069779544,9:18:00,9:18:00,740046239,8,0,0
22750069779544,9:19:00,9:19:00,740046240,9,0,0
22750069779544,9:19:00,9:19:00,740046241,10,0,0
22750069779544,9:21:00,9:21:00,740046242,11,0,0
22750069779544,9:22:00,9:22:00,740018283,12,0,0
22750069779544,9:23:00,9:23:00,740046243,13,0,0
22750069779544,9:25:00,9:25:00,740020556,14,1,0
22750069779610,9:28:00,9:28:00,740004383,1,0,1
22750069779610,9:29:00,9:29:00,740035997,2,0,0
22750069779610,9:31:00,9:31:00,740037355,3,0,0
22750069779610,9:32:00,9:32:00,740019408,4,0,0
22750069779610,9:35:00,9:35:00,740046065,5,0,0
22750069779610,9:38:00,9:38:00,740046036,6,0,0
22750069779610,9:39:00,9:39:00,740045991,7,0,0
22750069779610,9:40:00,9:40:00,740046239,8,0,0
22750069779610,9:41:00,9:41:00,740046240,9,0,0
22750069779610,9:41:00,9:41:00,740046241,10,0,0
22750069779610,9:43:00,9:43:00,740046242,11,0,0
22750069779610,9:44:00,9:44:00,740018283,12,0,0
22750069779610,9:45:00,9:45:00,740046243,13,0,0
22750069779610,9:47:00,9:47:00,740020556,14,1,0
22750069780028,11:29:00,11:29:00,740004383,1,0,1
22750069780028,11:30:00,11:30:00,740035997,2,0,0
22750069780028,11:32:00,11:32:00,740037355,3,0,0
22750069780028,11:33:00,11:33:00,740019408,4,0,0
22750069780028,11:36:00,11:36:00,740046065,5,0,0
22750069780028,11:39:00,11:39:00,740046036,6,0,0
22750069780028,11:40:00,11:40:00,740045991,7,0,0
22750069780028,11:41:00,11:41:00,740046239,8,0,0
22750069780028,11:42:00,11:42:00,740046240,9,0,0
22750069780028,11:42:00,11:42:00,740046241,10,0,0
22750069780028,11:44:00,11:44:00,740046242,11,0,0
22750069780028,11:45:00,11:45:00,740018283,12,0,0
22750069780028,11:46:00,11:46:00,740046243,13,0,0
22750069780028,11:48:00,11:48:00,740020556,14,1,0
22750069780182,12:24:00,12:24:00,740004383,1,0,1
22750069780182,12:25:00,12:25:00,740035997,2,0,0
22750069780182,12:27:00,12:27:00,740037355,3,0,0
22750069780182,12:28:00,12:28:00,740019408,4,0,0
22750069780182,12:31:00,12:31:00,740046065,5,0,0
22750069780182,12:34:00,12:34:00,740046036,6,0,0
22750069780182,12:35:00,12:35:00,740045991,7,0,0
22750069780182,12:36:00,12:36:00,740046239,8,0,0
22750069780182,12:37:00,12:37:00,740046240,9,0,0
22750069780182,12:37:00,12:37:00,740046241,10,0,0
22750069780182,12:39:00,12:39:00,740046242,11,0,0
22750069780182,12:40:00,12:40:00,740018283,12,0,0
22750069780182,12:41:00,12:41:00,740046243,13,0,0
22750069780182,12:43:00,12:43:00,740020556,14,1,0
22750069780358,13:19:00,13:19:00,740004383,1,0,1
22750069780358,13:20:00,13:20:00,740035997,2,0,0
22750069780358,13:22:00,13:22:00,740037355,3,0,0
22750069780358,13:23:00,13:23:00,740019408,4,0,0
22750069780358,13:26:00,13:26:00,740046065,5,0,0
22750069780358,13:29:00,13:29:00,740046036,6,0,0
22750069780358,13:30:00,13:30:00,740045991,7,0,0
22750069780358,13:31:00,13:31:00,740046239,8,0,0
22750069780358,13:32:00,13:32:00,740046240,9,0,0
22750069780358,13:32:00,13:32:00,740046241,10,0,0
22750069780358,13:34:00,13:34:00,740046242,11,0,0
22750069780358,13:35:00,13:35:00,740018283,12,0,0
22750069780358,13:36:00,13:36:00,740046243,13,0,0
22750069780358,13:38:00,13:38:00,740020556,14,1,0
22750069782096,7:41:00,7:41:00,740004383,1,0,1
22750069782096,7:42:00,7:42:00,740035997,2,0,0
22750069782096,7:44:00,7:44:00,740037355,3,0,0
22750069782096,7:45:00,7:45:00,740019408,4,0,0
22750069782096,7:48:00,7:48:00,740046065,5,0,0
22750069782096,7:51:00,7:51:00,740046036,6,0,0
22750069782096,7:52:00,7:52:00,740045991,7,0,0
22750069782096,7:53:00,7:53:00,740046239,8,0,0
22750069782096,7:54:00,7:54:00,740046240,9,0,0
22750069782096,7:54:00,7:54:00,740046241,10,0,0
22750069782096,7:56:00,7:56:00,740046242,11,0,0
22750069782096,7:57:00,7:57:00,740018283,12,0,0
22750069782096,7:58:00,7:58:00,740046243,13,0,0
22750069782096,8:00:00,8:00:00,740020556,14,1,0
22750069773129,9:39:00,9:39:00,740004383,1,0,1
22750069773129,9:40:00,9:40:00,740035997,2,0,0
22750069773129,9:42:00,9:42:00,740037355,3,0,0
22750069773129,9:43:00,9:43:00,740019408,4,0,0
22750069773129,9:46:00,9:46:00,740046065,5,0,0
22750069773129,9:49:00,9:49:00,740046036,6,0,0
22750069773129,9:50:00,9:50:00,740045991,7,0,0
22750069773129,9:51:00,9:51:00,740046239,8,0,0
22750069773129,9:52:00,9:52:00,740046240,9,0,0
22750069773129,9:52:00,9:52:00,740046241,10,0,0
22750069773129,9:54:00,9:54:00,740046242,11,0,0
22750069773129,9:55:00,9:55:00,740018283,12,0,0
22750069773129,9:56:00,9:56:00,740046243,13,0,0
22750069773129,9:58:00,9:58:00,740020556,14,1,0
22750069773151,10:45:00,10:45:00,740004383,1,0,1
22750069773151,10:46:00,10:46:00,740035997,2,0,0
22750069773151,10:48:00,10:48:00,740037355,3,0,0
22750069773151,10:49:00,10:49:00,740019408,4,0,0
22750069773151,10:52:00,10:52:00,740046065,5,0,0
22750069773151,10:55:00,10:55:00,740046036,6,0,0
22750069773151,10:56:00,10:56:00,740045991,7,0,0
22750069773151,10:57:00,10:57:00,740046239,8,0,0
22750069773151,10:58:00,10:58:00,740046240,9,0,0
22750069773151,10:58:00,10:58:00,740046241,10,0,0
22750069773151,11:00:00,11:00:00,740046242,11,0,0
22750069773151,11:01:00,11:01:00,740018283,12,0,0
22750069773151,11:02:00,11:02:00,740046243,13,0,0
22750069773151,11:04:00,11:04:00,740020556,14,1,0
22750069773287,12:02:00,12:02:00,740004383,1,0,1
22750069773287,12:03:00,12:03:00,740035997,2,0,0
22750069773287,12:05:00,12:05:00,740037355,3,0,0
22750069773287,12:06:00,12:06:00,740019408,4,0,0
22750069773287,12:09:00,12:09:00,740046065,5,0,0
22750069773287,12:12:00,12:12:00,740046036,6,0,0
22750069773287,12:13:00,12:13:00,740045991,7,0,0
22750069773287,12:14:00,12:14:00,740046239,8,0,0
22750069773287,12:15:00,12:15:00,740046240,9,0,0
22750069773287,12:15:00,12:15:00,740046241,10,0,0
22750069773287,12:17:00,12:17:00,740046242,11,0,0
